"ll.m1"	"ll.m2"	"ll.m1.null"	"ll.m2.null"
-413.688239985756	-412.078625987088	-413.720407708456	-412.110000652169
-409.150756365486	-409.154343069616	-409.380018477518	-409.381935913972
-399.953361251365	-400.970851353465	-402.097053992711	-403.289658173724
-402.814001301516	-404.459904864333	-402.816004931104	-404.463568453271
-409.445379172959	-410.248157310749	-409.781280561167	-410.677008131041
-412.636525861349	-411.039824353566	-412.90969787965	-411.393138280682
-411.638670370027	-411.877496467571	-411.641479513391	-411.880988039798
-404.179925507943	-407.156709276651	-404.18829157998	-407.160308181075
-408.415732222019	-409.466493998454	-407.891476879966	-409.973503736131
-408.136366243906	-408.827398631689	-408.181752788415	-408.884451984203
-408.3000792812	-408.353968166753	-408.595216183322	-408.643621379888
-406.581391024007	-406.583286830691	-406.708227717528	-406.712556950486
-409.536970770739	-409.888132855508	-409.747263752753	-410.115561972133
-404.681055761726	-405.489665673892	-404.713685902709	-405.547284982802
-412.675239856421	-411.068620876965	-412.7350896552	-411.155554250226
-408.77007715644	-409.449117774594	-409.154924754371	-409.956628494668
-406.266427120663	-406.342054308157	-406.283173970403	-406.356464758748
-402.653463458634	-404.255858533806	-402.671930797508	-404.270489951684
-406.719487707437	-406.819380892698	-409.288463641681	-409.416021816758
-400.595848856761	-402.595656811221	-400.703020563157	-402.687986136175
-403.389660154929	-405.941122038683	-403.672245060214	-406.463975572819
-402.734037747263	-402.785226438631	-403.40785766823	-403.513858849638
-413.052564735651	-413.432321476091	-414.384191869663	-415.081939856061
-412.389939335622	-412.658571839407	-412.472174946942	-412.744982302308
-408.65810757525	-408.667249358139	-409.09416313064	-409.101372625642
-414.925536302721	-415.519079298146	-415.027062105395	-415.640245424982
-407.776035466063	-408.083143666498	-410.160285592482	-410.641498251625
-399.815662848738	-399.961137581274	-399.906191942059	-400.054624556871
-410.708543517962	-411.198817403474	-410.70864153401	-411.198817397499
-399.712022028726	-401.466235012595	-400.040432068735	-401.917587148185
-394.480916434219	-395.584428311122	-394.527419723922	-395.619105239502
-397.312206968586	-397.557395957995	-397.344149874376	-397.591565107114
-392.840463510636	-394.221456455373	-393.047210264886	-394.537249116133
-406.426389687771	-407.279779308675	-407.567908936951	-408.709585275048
-407.443103033165	-407.537692979078	-407.458438649898	-407.55219536901
-413.15894301947	-413.057681000371	-413.162310476659	-413.06115555995
-407.712605129828	-408.409698305424	-407.764770914165	-408.498706469855
-406.482474052263	-409.365617080156	-406.860580348756	-409.787954110318
-399.095434806046	-399.431808593818	-399.140099786691	-399.46520814401
-397.594707265012	-398.044173097153	-397.774859057461	-398.230480520411
-402.644403339947	-404.024965805122	-402.644658952404	-404.024965805213
-393.299600003557	-396.008130820976	-394.0651993196	-396.867196861045
-408.184749950635	-408.186563250693	-408.188573697434	-408.190171916507
-398.009666919929	-398.118731792193	-398.151868914758	-398.256650583045
-389.899527509151	-390.477939514623	-390.033553004462	-390.619003726057
-413.687399142155	-413.820372878048	-413.698583704761	-413.834129034187
-401.224674754211	-401.393468187214	-401.227998879977	-401.397194346401
-408.048439392075	-408.052402632804	-408.177346128839	-408.182396393684
-414.66956564825	-414.696770710469	-414.943719417191	-414.97059499058
-409.295575931743	-410.053696711725	-411.874478270589	-413.58124182023
-396.664720022106	-400.212715622721	-396.714634106835	-400.272991177354
-414.372941661954	-413.812698400599	-414.377282607062	-413.816141875423
-408.389172005684	-408.672847674865	-408.619568720176	-408.901046533306
-401.896967964715	-402.816897138246	-402.389959040787	-403.53664919546
-397.360562367442	-399.047070402489	-397.658925513025	-399.354702875862
-408.906249291486	-409.26047955447	-409.515341014681	-409.951293349647
-401.83066246643	-401.921317519656	-402.133978033627	-402.220753962376
-401.098651318965	-401.494557999197	-401.101422878953	-401.494557998477
-403.011692962021	-403.685610957254	-403.030748789798	-403.718584683875
-399.025483480157	-399.043064630188	-399.405870029936	-399.418661484998
-412.955601300654	-413.057492411157	-413.721627480266	-413.831047533612
-403.337332061849	-405.53852454465	-403.724498630419	-405.899872093028
-399.095135987326	-399.193948548293	-399.28094030258	-399.379952393949
-406.291711481374	-406.445486100501	-408.612273904939	-408.87006892612
-407.572865968446	-407.574786590421	-407.802177527718	-407.805316917447
-402.744463134132	-402.744898802381	-402.971585229255	-402.979383236207
-413.803338294567	-414.316929525664	-413.867838055741	-414.400876909759
-409.032490040924	-409.06763848001	-409.048320318946	-409.081851974929
-395.909144804554	-395.953614147554	-398.633590126235	-398.87915701727
-409.882799627332	-410.151529462184	-409.911177674775	-410.183576581078
-413.717236617761	-413.917958889947	-413.746714677998	-413.948897109557
-393.382533324354	-395.318911020137	-393.586601046159	-395.506508296535
-400.608864783516	-401.969645118725	-400.636185841518	-401.973351560682
-394.201896198748	-394.233507405555	-395.324978699544	-395.356082226323
-401.465170381747	-404.199611063579	-402.658001438495	-405.814469923354
-406.816965188347	-407.409589915248	-406.828995256338	-407.423970127435
-413.805461736715	-414.204272463066	-413.928366291464	-414.327410426077
-403.981514914247	-404.497712909429	-404.388950601804	-404.943664255005
-412.071869322852	-412.0497745201	-412.083927909607	-412.063755713216
-403.243262781955	-403.589856090789	-403.720392361422	-404.117816218199
-405.13030152106	-405.906679572497	-405.227779071935	-406.0377566426
-406.595671377262	-406.610514157827	-407.099057912682	-407.131387344768
-408.946946548862	-409.062163992692	-409.104652307791	-409.236485731155
-406.151860809712	-406.191529203624	-406.776827950847	-406.8062182119
-404.372418856444	-405.734565102448	-404.431528822895	-405.865745932766
-398.713855085864	-398.80144478489	-398.725322961923	-398.816625497711
-407.376437923768	-407.486933808077	-407.383788537556	-407.490490345742
-407.212508451242	-407.477853109325	-407.502253291927	-407.83721939055
-415.880812648397	-415.881551292354	-415.88413748718	-415.884885003247
-410.916092233973	-410.831765791295	-411.101562958469	-411.056882903109
-408.612648194452	-410.526033834436	-408.631339498348	-410.557930435566
-391.28919622743	-391.347015206197	-391.628396146656	-391.660989436985
-408.707760495671	-407.608582018249	-407.457307703555	-408.303923758574
-412.196266985942	-411.047809588003	-413.191997453263	-412.305205716614
-404.744700355589	-404.779194958737	-405.107431606657	-405.147490288518
-414.098469011848	-414.120049798294	-414.101788550133	-414.123472920772
-399.779573497673	-400.27816186498	-399.898141036226	-400.414290046095
-411.787692116546	-412.005373817074	-412.18250914191	-412.427543517088
-399.25297465363	-399.857352596704	-400.497846165289	-401.219814270053
-396.80420673534	-396.80789982036	-396.8400939369	-396.842365994748
-411.641698810413	-409.962671103161	-411.653924122741	-409.994394774378
-413.357592205061	-412.042343144155	-412.126287401116	-412.543421734294
-397.322797104945	-397.462130899208	-397.331063628365	-397.47717429287
-408.167671557638	-408.877799480835	-408.167974290729	-408.877799159234
